Recommendation,Label,Working Circle,Description,Link,Container,X,Y,Amount
B1,X,3,"Increase inter-cultural capacity, competency, and knowledge at the University of Calgary, with respect to Indigenous peoples’ histories, cultures, and ways of knowing. ",,Yes,0.34,0.19,10
B1a,"Employment 
Recruitment",3,"Develop campus wide inter-cultural capacity through integrated professional development for members of the Board of Governors, Senate, senior university leaders, faculty, and staff. ",https://uofc.sharepoint.com/sites/IndigenousEngmtOffice/SitePages/ii%27ttaa.aspx,In,0.34,0.09,20
B1b,"Governing Structure 
Representation",4,"Develop campus-wide inter-cultural capacity for students through integrated curricula that weaves Indigenous histories, epistemologies, philosophies, and methodologies into all credit programs.",,In,0.295,0.19,30
B1c,"Academic
Representation",3,"Create experiential opportunities for all members of the University of Calgary to learn about Indigenous histories, epistemologies, philosophies, and methodologies. ",,In,0.385,0.19,40
B1d,Learner Recruitment,4,"Conduct a review of all programs relating to Indigenous peoples, communities, histories and contemporary realities, to ensure that program content and pedagogies do not perpetuate stereotypes and are respectful and inclusive of Indigenous perspectives. ",,In,0.34,0.29,50
B2,X,"1, 2","Create a more inclusive campus by increasing Indigenous representation in teaching, learning, and leadership through recruitment and retention of students, staff and academic staff. ",,Yes,0.18,0.365,60
B2a,ICC Professional Dev.,2,"Develop and implement a wise practice employment recruitment strategy to attract and retain Indigenous people in MaPS and AUPE positions in all faculties and units, and academic staff positions in all faculties through incentives, reviews, and the development of a welcome and respectful workplace environment. ",,In,0.18,0.265,70
B2b,ICC for Students,7,Ensure representation of Indigenous peoples in the governing structures of the university.,,In,0.135,0.365,80
B2c,"Experiential
Opportunities",2,"Increase representation of Indigenous academic staff, with tenure, in all faculties. This will require concomitant creation of supportive pathways to tenure-track positions for Indigenous scholars and amendments to tenure criteria that recognize Indigenous ways of knowing and being, including obligation to community and recognition of research methodologies.",,In,0.225,0.365,90
B2d,Review Program Content.,1,"Review and enhance recruitment, support, and mentoring activities for Indigenous learners so that they feel a sense of belonging and experience success at the University of Calgary. ",,In,0.18,0.465,100
B3,Knowledge Keepers' Circle,7,Create a Traditional Knowledge Keepers’ Advisory Circle that brings Indigenous spiritual and cultural leaders together with senior university leadership in an ethical space that allows for ongoing dialogue about decolonization and Indigenization at the University of Calgary. ,,,0.14,0.11,0
B4,Student Advisory Circle,1,"Create an Indigenous Student Advisory Circle to provide advice, input, and insight into improving the overall student experience at the University of Calgary",,,0.05,0.23,10
C1,New Building,5,"Design and construct a new building dedicated to Indigenous Peoples’ knowledges and education. This space would house Indigenous programs, promote Indigenous knowledges in learning, teaching and research, and provide ceremonial space that welcomes Indigenous and non-Indigenous academic staff, staff, students and guests; and, house the Centre for Oral Traditions and Languages, promoting this work across disciplines. ",,,0.34,0.63,20
C2 / D4,Engage Institutions & Community,4,Engage with Indigenous communities and post-secondary institutions as key partners in creating and sustaining strong Indigenous educational programs and pathways to further education. ,,,0.49,0.83,30
C3,Gathering Stories & Dialogs,7,"Continue the Gathering Stories community dialogues series and further develop a sustainable and ongoing plan for community engagement, an important aspect to the mark progress, set and check direction, and monitor the evolution of the strategy. ",,,0.275,0.84,40
C4,Engage Indigenous Alumni,5,Engage Indigenous alumni and develop a specific alumni mentorship program for Indigenous students. ,,,0.2,0.66,50
C5,Annual Progress Report,7,Provide annual progress reports regarding strategy progress to the General Faculties Council and the Board of Governors. ,,,0.14,0.89,60
C6,Full Circle Dialog,7,Commit to a full circle community dialogue at least once every four years to assess the progress on the recommendations of the Indigenous Strategy.,,,0.06,0.73,70
D1,Enhance Diversity Procedures,6,"Review and enhance university business procedures and practices, to both minimize barriers to Indigenous community and student engagement and acknowledge cultural protocols in teaching, learning, research, and event planning.",,,0.64,0.65,80
D2,Physical Acknow-ledgements,5,"Develop physical acknowledgements and recognition of Indigenous people’s history and relationship to the land, including plaques that tell the history of Treaty 7 and Métis peoples, inclusion of Indigenous art and architecture, outdoor ceremonial spaces, and landscaping / traditional gardens. ",,,0.69,0.86,90
D3,Strengthen Financial Student Supports,1,"Work with Indigenous communities, governments and external partners to strengthen financial supports available to Indigenous students. ",,,0.75,0.68,100
D5,Indigenous Perspectives in Student Appeals,1,Examine student appeals processes and determine ways to incorporate Indigenous perspectives. ,,,0.8,0.9,0
D6,"Comms, Marketing & Promotional Material",5,"Develop procedures and standards to appropriately reflect Indigenous inclusion and representation in University of Calgary communications, marketing, and promotional materials. ",,,0.85,0.63,10
D7,Convocation Procedures,6,Review convocation procedures to ensure we are inclusive of Indigenous perspectives.,,,0.89,0.83,20
K1,"Research Chairs, Post-Doc, & Grad Positions",2,"Pursue Indigenous Research Chairs, post-doctoral positions and graduate student opportunities for the University of Calgary.",,,0.57,0.29,30
K2,Hire & Support Indigenous Scholars,2,"Strategically identify, recruit, hire and support emerging Indigenous scholars at the University of Calgary. ",,,0.62,0.12,40
K3,Prof. Learning in Indigenous Ways of Knowing,3,"Develop and implement additional professional learning opportunities, training and mentorship in Indigenous ways of knowing, including methodologies and pedagogies, ceremony and cultural protocols.",,,0.665,0.35,50
K4,"Research Ethics for 
Indigenous Communities",6,Develop policies and procedures that incorporate guidance from Traditional Knowledge Keepers and Indigenous ethics organizations for research ethics approval involving Indigenous communities to ensure appropriate application of protocols. ,,,0.7,0.2,60
K5,Update Merit & Promotion,6,"Review and update criteria for merit and promotion for researchers involved in community-driven research to better support Indigenous ways of sharing and transferring knowledge, recognizing the time and trust it takes to engage in community-based research, and the effect that this has on annual performance reviews. ",,,0.77,0.09,70
K6,Centre for Oral Traditions,4,"Create a Centre for Oral Traditions and Languages as a platform for research and learning, and to ensure that all students have opportunities to preserve the traditional Indigenous languages.",,,0.75,0.425,80
K7,Complete T&RC Prof. Calls to Action,4,"For relevant professional schools (i.e., Education, Social Work, Medicine, and Law), complete specific responses to the Calls to Action articulated by the Truth and Reconciliation Commission. ",,,0.8,0.28,90
K8,Include Indigenous Activities in Theses,6,"For graduate degrees, broaden thesis procedures and guidelines to better incorporate Indigenous languages, oral traditions, pedagogies and research methodologies and methods. ",,,0.87,0.16,100
K9,Traditional Knowledge Keepers in Learning,3,Resource opportunities to routinely include Indigenous Traditional Knowledge Keepers in the university’s learning processes. Ensure that appropriate cultural protocols are understood and practiced during these teaching processes. ,,,0.885,0.4,0
K10,Student Educational Opportunities,4,Expand educational opportunities for Indigenous and non-Indigenous students through innovative programming such as Indigenous exchange programs within Canada and land-based learning.,,,0.94,0.28,10
